Время	T1	T2	T3	T4
2019-12-09T22:16:20	-100	-100	-100	-100
2019-12-09T22:16:30	-100	-100	-100	-100
2019-12-09T22:16:40	-100	-100	-100	-100
2019-12-09T22:16:50	-100	-100	-100	-100
2019-12-09T22:17:00	-100	-100	-100	-100
2019-12-09T22:17:10	-100	-100	-100	-100
2019-12-09T22:17:20	-100	-100	-100	-100
2019-12-09T22:17:30	-100	-100	-100	-100
2019-12-09T22:17:40	-100	-100	-100	-100
2019-12-09T22:17:50	-100	-100	-100	-100
2019-12-09T22:18:00	-100	-100	-100	-100
2019-12-09T22:18:10	-100	-100	-100	-100
2019-12-09T22:18:20	-100	-100	-100	-100
2019-12-09T22:18:30	-100	-100	-100	-100
2019-12-09T22:18:40	-100	-100	-100	-100
2019-12-09T22:18:50	-100	-100	-100	-100
2019-12-09T22:19:00	-100	-100	-100	-100
2019-12-09T22:19:10	-100	-100	-100	-100
2019-12-09T22:19:20	-100	-100	-100	-100
2019-12-09T22:19:30	-100	-100	-100	-100
2019-12-09T22:19:40	-100	-100	-100	-100
2019-12-09T22:19:50	-100	-100	-100	-100
2019-12-09T22:20:00	-100	-100	-100	-100
2019-12-09T22:20:10	-100	-100	-100	-100
2019-12-09T22:20:20	-100	-100	-100	-100
2019-12-09T22:20:30	-100	-100	-100	-100
2019-12-09T22:20:40	-100	-100	-100	-100
2019-12-09T22:20:50	-100	-100	-100	-100
2019-12-09T22:21:00	-100	-100	-100	-100
2019-12-09T22:21:10	-100	-100	-100	-100
2019-12-09T22:21:20	-100	-100	-100	-100
2019-12-09T22:21:30	-100	-100	-100	-100
2019-12-09T22:21:40	-100	-100	-100	-100
2019-12-09T22:21:50	-100	-100	-100	-100
2019-12-09T22:22:00	-100	-100	-100	-100
2019-12-09T22:22:10	-100	-100	-100	-100
2019-12-09T22:22:20	-100	-100	-100	-100
2019-12-09T22:22:30	-100	-100	-100	-100
2019-12-09T22:22:40	-100	-100	-100	-100
2019-12-09T22:22:50	-100	-100	-100	-100
2019-12-09T22:23:00	-100	-100	-100	-100
2019-12-09T22:23:10	-100	-100	-100	-100
2019-12-09T22:23:20	-100	-100	-100	-100
2019-12-09T22:23:30	-100	-100	-100	-100
2019-12-09T22:23:40	-100	-100	-100	-100
2019-12-09T22:23:50	-100	-100	-100	-100
2019-12-09T22:24:00	-100	-100	-100	-100
2019-12-09T22:24:10	-100	-100	-100	-100
2019-12-09T22:24:20	-100	-100	-100	-100
2019-12-09T22:24:30	-100	-100	-100	-100
2019-12-09T22:24:40	-100	-100	-100	-100
2019-12-09T22:24:51	-100	-100	-100	-100
2019-12-09T22:25:01	-100	-100	-100	-100
2019-12-09T22:25:11	-100	-100	-100	-100
2019-12-09T22:25:21	-100	-100	-100	-100
2019-12-09T22:25:31	-100	-100	-100	-100
2019-12-09T22:25:41	-100	-100	-100	-100
2019-12-09T22:25:51	-100	-100	-100	-100
2019-12-09T22:26:01	-100	-100	-100	-100
2019-12-09T22:26:17	-100	-100	-100	-100
2019-12-09T22:26:27	-100	-100	-100	-100
2019-12-09T22:26:37	-100	-100	-100	-100
2019-12-09T22:26:47	-100	-100	-100	-100
2019-12-09T22:26:57	-100	-100	-100	-100
2019-12-09T22:27:07	-100	-100	-100	-100
2019-12-09T22:27:17	-100	-100	-100	-100
2019-12-09T22:27:27	-100	-100	-100	-100
2019-12-09T22:27:37	-100	-100	-100	-100
2019-12-09T22:27:47	-100	-100	-100	-100
2019-12-09T22:27:57	-100	-100	-100	-100
2019-12-09T22:28:07	-100	-100	-100	-100
2019-12-09T22:28:17	-100	-100	-100	-100
2019-12-09T22:28:27	-100	-100	-100	-100
2019-12-09T22:28:37	-100	-100	-100	-100
2019-12-09T22:28:47	-100	-100	-100	-100
2019-12-09T22:28:57	-100	-100	-100	-100
2019-12-09T22:29:07	-100	-100	-100	-100
2019-12-09T22:29:17	-100	-100	-100	-100
2019-12-09T22:29:27	-100	-100	-100	-100
2019-12-09T22:29:37	-100	-100	-100	-100
2019-12-09T22:29:47	-100	-100	-100	-100
2019-12-09T22:29:57	-100	-100	-100	-100
2019-12-09T22:30:07	-100	-100	-100	-100
2019-12-09T22:30:17	-100	-100	-100	-100
2019-12-09T22:30:27	-100	-100	-100	-100
2019-12-09T22:30:37	-100	-100	-100	-100
2019-12-09T22:30:47	-100	-100	-100	-100
2019-12-09T22:30:57	-100	-100	-100	-100
2019-12-09T22:31:07	-100	-100	-100	-100
2019-12-09T22:31:17	-100	-100	-100	-100
2019-12-09T22:31:27	-100	-100	-100	-100
2019-12-09T22:31:37	-100	-100	-100	-100
2019-12-09T22:31:47	-100	-100	-100	-100
2019-12-09T22:31:57	-100	-100	-100	-100
2019-12-09T22:32:07	-100	-100	-100	-100
2019-12-09T22:32:17	-100	-100	-100	-100
2019-12-09T22:32:27	-100	-100	-100	-100
2019-12-09T22:32:37	-100	-100	-100	-100
2019-12-09T22:32:47	-100	-100	-100	-100
2019-12-09T22:32:57	-100	-100	-100	-100
