time	T1	T2	T3	T4
2020-11-29T18:01:53	-100	-100	-100	-100
2020-11-29T18:02:03	-100	-100	-100	-100
2020-11-29T18:02:13	-100	-100	-100	-100
2020-11-29T18:02:23	-100	-100	-100	-100
2020-11-29T18:02:33	-100	-100	-100	-100
2020-11-29T18:02:43	-100	-100	-100	-100
2020-11-29T18:02:53	-100	-100	-100	-100
2020-11-29T18:03:03	-100	-100	-100	-100
2020-11-29T18:03:13	-100	-100	-100	-100
2020-11-29T18:03:23	-100	-100	-100	-100
2020-11-29T18:03:33	-100	-100	-100	-100
2020-11-29T18:03:43	-100	-100	-100	-100
2020-11-29T18:03:53	-100	-100	-100	-100
2020-11-29T18:04:03	-100	-100	-100	-100
2020-11-29T18:04:13	-100	-100	-100	-100
2020-11-29T18:04:23	-100	-100	-100	-100
2020-11-29T18:04:33	-100	-100	-100	-100
2020-11-29T18:04:43	-100	-100	-100	-100
2020-11-29T18:04:53	-100	-100	-100	-100
2020-11-29T18:05:03	-100	-100	-100	-100
2020-11-29T18:05:13	-100	-100	-100	-100
2020-11-29T18:05:23	-100	-100	-100	-100
2020-11-29T18:05:33	-100	-100	-100	-100
2020-11-29T18:05:43	-100	-100	-100	-100
2020-11-29T18:05:53	-100	-100	-100	-100
2020-11-29T18:06:03	-100	-100	-100	-100
2020-11-29T18:06:13	-100	-100	-100	-100
2020-11-29T18:06:23	-100	-100	-100	-100
2020-11-29T18:06:33	-100	-100	-100	-100
2020-11-29T18:06:43	-100	-100	-100	-100
2020-11-29T18:06:53	-100	-100	-100	-100
2020-11-29T18:07:03	-100	-100	-100	-100
2020-11-29T18:07:13	-100	-100	-100	-100
2020-11-29T18:07:23	-100	-100	-100	-100
2020-11-29T18:07:33	-100	-100	-100	-100
2020-11-29T18:07:43	-100	-100	-100	-100
2020-11-29T18:07:53	-100	-100	-100	-100
2020-11-29T18:08:03	-100	-100	-100	-100
2020-11-29T18:08:13	-100	-100	-100	-100
2020-11-29T18:08:23	-100	-100	-100	-100
2020-11-29T18:08:33	-100	-100	-100	-100
2020-11-29T18:08:43	-100	-100	-100	-100
2020-11-29T18:08:53	-100	-100	-100	-100
2020-11-29T18:09:03	-100	-100	-100	-100
2020-11-29T18:09:13	-100	-100	-100	-100
2020-11-29T18:09:23	-100	-100	-100	-100
2020-11-29T18:09:33	-100	-100	-100	-100
2020-11-29T18:09:43	-100	-100	-100	-100
2020-11-29T18:09:53	-100	-100	-100	-100
2020-11-29T18:10:03	-100	-100	-100	-100
2020-11-29T18:10:13	-100	-100	-100	-100
2020-11-29T18:10:23	-100	-100	-100	-100
2020-11-29T18:10:33	-100	-100	-100	-100
2020-11-29T18:10:43	-100	-100	-100	-100
2020-11-29T18:10:53	-100	-100	-100	-100
2020-11-29T18:11:03	-100	-100	-100	-100
2020-11-29T18:11:13	-100	-100	-100	-100
2020-11-29T18:11:23	-100	-100	-100	-100
2020-11-29T18:11:33	-100	-100	-100	-100
2020-11-29T18:11:43	-100	-100	-100	-100
2020-11-29T18:11:53	-100	-100	-100	-100
2020-11-29T18:12:04	-100	-100	-100	-100
2020-11-29T18:12:14	-100	-100	-100	-100
2020-11-29T18:12:24	-100	-100	-100	-100
2020-11-29T18:12:34	-100	-100	-100	-100
2020-11-29T18:12:44	-100	-100	-100	-100
2020-11-29T18:12:54	-100	-100	-100	-100
2020-11-29T18:13:04	-100	-100	-100	-100
2020-11-29T18:13:14	-100	-100	-100	-100
2020-11-29T18:13:24	-100	-100	-100	-100
2020-11-29T18:13:34	-100	-100	-100	-100
2020-11-29T18:13:44	-100	-100	-100	-100
2020-11-29T18:13:54	-100	-100	-100	-100
2020-11-29T18:14:04	-100	-100	-100	-100
2020-11-29T18:14:14	-100	-100	-100	-100
2020-11-29T18:14:24	-100	-100	-100	-100
2020-11-29T18:14:34	-100	-100	-100	-100
2020-11-29T18:14:44	-100	-100	-100	-100
2020-11-29T18:14:54	-100	-100	-100	-100
2020-11-29T18:15:04	-100	-100	-100	-100
2020-11-29T18:15:14	-100	-100	-100	-100
2020-11-29T18:15:24	-100	-100	-100	-100
2020-11-29T18:15:34	-100	-100	-100	-100
2020-11-29T18:15:44	-100	-100	-100	-100
2020-11-29T18:15:54	-100	-100	-100	-100
2020-11-29T18:16:04	-100	-100	-100	-100
2020-11-29T18:16:14	-100	-100	-100	-100
2020-11-29T18:16:24	-100	-100	-100	-100
2020-11-29T18:16:34	-100	-100	-100	-100
2020-11-29T18:16:44	-100	-100	-100	-100
2020-11-29T18:16:54	-100	-100	-100	-100
